 LIST PRICE ,HIGH,HOME TYPE,LOCATION,SQFT
12950000,0,Single Family Residential,Beverly Hills,8889
12995000,0,Single Family Residential,Beverly Hills,11500
13200000,0,Condo/Coop,Beverly Hills,4680
13495000,0,Single Family Residential,Beverly Hills,14300
13500000,0,Single Family Residential,Beverly Hills,10000
14950000,0,Single Family Residential,Beverly Hills,14127
15750000,0,Single Family Residential,Beverly Hills,7187
15900000,0,Single Family Residential,Beverly Hills,5940
15995000,0,Single Family Residential,Beverly Hills,7735
16900000,0,Single Family Residential,Beverly Hills,12000
22000000,1,Single Family Residential,Santa Monica,11000
22500000,1,Single Family Residential,Beverly Hills,17000
25580000,1,Single Family Residential,Beverly Hills,
26500000,1,Single Family Residential,Beverly Hills,15193
37500000,1,Single Family Residential,Beverly Hills,22163
39000000,1,Single Family Residential,Beverly Hills,6377
44000000,1,Single Family Residential,Beverly Hills,
58000000,1,Single Family Residential,Beverly Hills,48000
