Date,Open,High,Low,Close*,Adj Close**,Change,Return,Date
3-Aug-21,"34,864.10","35,120.94","34,714.33","35,116.40","35,116.40",278.24,0.01,3-Aug-21
4-Aug-21,"35,047.44","35,047.44","34,790.62","34,792.67","34,792.67",-323.73,-0.01,4-Aug-21
5-Aug-21,"34,815.61","35,067.54","34,815.61","35,064.25","35,064.25",271.58,0.01,5-Aug-21
6-Aug-21,"35,077.44","35,246.79","35,077.44","35,208.51","35,208.51",144.26,0,6-Aug-21
9-Aug-21,"35,229.67","35,229.67","35,041.24","35,101.85","35,101.85",-106.66,0,9-Aug-21
10-Aug-21,"35,135.17","35,285.16","35,091.91","35,264.67","35,264.67",162.82,0,10-Aug-21
11-Aug-21,"35,300.89","35,501.16","35,300.89","35,484.97","35,484.97",220.3,0.01,11-Aug-21
12-Aug-21,"35,481.94","35,510.77","35,352.53","35,499.85","35,499.85",14.88,0,12-Aug-21
13-Aug-21,"35,551.56","35,610.57","35,474.78","35,515.38","35,515.38",15.53,0,13-Aug-21
16-Aug-21,"35,490.83","35,631.19","35,231.87","35,625.40","35,625.40",110.02,0,16-Aug-21
17-Aug-21,"35,500.01","35,500.01","35,120.31","35,343.28","35,343.28",-282.12,-0.01,17-Aug-21
18-Aug-21,"35,310.20","35,356.80","34,943.41","34,960.69","34,960.69",-382.59,-0.01,18-Aug-21
19-Aug-21,"34,874.67","34,997.81","34,690.25","34,894.12","34,894.12",-66.57,0,19-Aug-21
20-Aug-21,"34,917.96","35,177.26","34,867.07","35,120.08","35,120.08",225.96,0.01,20-Aug-21
23-Aug-21,"35,160.97","35,428.91","35,160.97","35,335.71","35,335.71",215.63,0.01,23-Aug-21
24-Aug-21,"35,382.72","35,445.47","35,356.18","35,366.26","35,366.26",30.55,0,24-Aug-21
25-Aug-21,"35,388.77","35,501.14","35,287.63","35,405.50","35,405.50",39.24,0,25-Aug-21
26-Aug-21,"35,449.68","35,498.45","35,205.10","35,213.12","35,213.12",-192.38,-0.01,26-Aug-21
27-Aug-21,"35,231.11","35,479.18","35,231.11","35,455.80","35,455.80",242.68,0.01,27-Aug-21
30-Aug-21,"35,471.80","35,510.71","35,374.46","35,399.84","35,399.84",-55.96,0,30-Aug-21
31-Aug-21,"35,391.38","35,449.79","35,289.86","35,360.73","35,360.73",-39.11,0,31-Aug-21
1-Sep-21,"35,387.55","35,407.37","35,287.05","35,312.53","35,312.53",-48.2,0,1-Sep-21
2-Sep-21,"35,353.06","35,475.40","35,348.48","35,443.82","35,443.82",131.29,0,2-Sep-21
3-Sep-21,"35,401.73","35,422.71","35,269.40","35,369.09","35,369.09",-74.73,0,3-Sep-21
7-Sep-21,"35,373.24","35,373.24","35,060.90","35,100.00","35,100.00",-269.09,-0.01,7-Sep-21
8-Sep-21,"35,087.45","35,175.15","34,925.61","35,031.07","35,031.07",-68.93,0,8-Sep-21
9-Sep-21,"35,013.08","35,199.89","34,847.30","34,879.38","34,879.38",-151.69,0,9-Sep-21
10-Sep-21,"34,949.59","35,104.25","34,599.61","34,607.72","34,607.72",-271.66,-0.01,10-Sep-21
13-Sep-21,"34,665.50","34,939.10","34,665.50","34,869.63","34,869.63",261.91,0.01,13-Sep-21
14-Sep-21,"34,906.90","34,990.36","34,510.30","34,577.57","34,577.57",-292.06,-0.01,14-Sep-21
15-Sep-21,"34,580.95","34,880.77","34,522.03","34,814.39","34,814.39",236.82,0.01,15-Sep-21
16-Sep-21,"34,810.27","34,943.55","34,540.11","34,751.32","34,751.32",-63.07,0,16-Sep-21
